filepath,raw_response,execution_time,formatted_response,analysis,descriptive,expanded,simplified,synonyms,use_cases
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_Lessons_in_Falling_MASTER_2023_07_04_00_16bit__000.wav,"```json
{
    ""simplified"": ""Electronic music"",
    ""expanded"": ""Dance music, ambient music"",
    ""descriptive"": ""The audio features a pulsating electronic beat with synthesized sounds creating an immersive, futuristic atmosphere."",
    ""synonyms"": ""Synth - based music, electronic - dance music"",
    ""use_cases"": ""Background music for nightclubs, soundtracks for futuristic movies"",
    ""analysis"": {
        ""genre"": [""electronic"", ""dance"", ""ambient""],
        ""instruments"": [""synthesizer"", ""drummachine"", ""piano"", ""bass""],
        ""tempo"": ""118 BPM"",
        ""mood"": [""energetic"", ""futuristic"", ""hypnotic""]
    },
    ""lyrical_rap_check"": false
}
```",421.1500892829972,"{'simplified': 'Electronic music', 'expanded': 'Dance music, ambient music', 'descriptive': 'The audio features a pulsating electronic beat with synthesized sounds creating an immersive, futuristic atmosphere.', 'synonyms': 'Synth - based music, electronic - dance music', 'use_cases': 'Background music for nightclubs, soundtracks for futuristic movies', 'analysis': {'genre': ['electronic', 'dance', 'ambient'], 'instruments': ['synthesizer', 'drummachine', 'piano', 'bass'], 'tempo': '118 BPM', 'mood': ['energetic', 'futuristic', 'hypnotic']}, 'lyrical_rap_check': False}","{'genre': ['electronic', 'dance', 'ambient'], 'instruments': ['synthesizer', 'drummachine', 'piano', 'bass'], 'tempo': '118 BPM', 'mood': ['energetic', 'futuristic', 'hypnotic']}","The audio features a pulsating electronic beat with synthesized sounds creating an immersive, futuristic atmosphere.","Dance music, ambient music",Electronic music,"Synth - based music, electronic - dance music","Background music for nightclubs, soundtracks for futuristic movies"
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_EOS FINAL - MASTER 2024_02_10_00_24b__002 copy.wav,"```json
{
    ""simplified"": ""Ambient music"",
    ""expanded"": ""Ambient, electronic, experimental"",
    ""descriptive"": ""A soothing blend of ambient pads, electronic beats, and experimental soundscapes creating a tranquil atmosphere."",
    ""synonyms"": ""Ambient, electronic, experimental, new age, soundscapes"",
    ""use_cases"": ""Background music for relaxation, meditation, or as a soundtrack for creative projects."",
    ""analysis"": {
        ""genre"": [""ambient"", ""electronic"", ""experimental""],
        ""instruments"": [""synthesizer"", ""pads"", ""drums""],
        ""tempo"": ""slow to medium - tempo"",
        ""mood"": [""calm"", ""relaxing"", ""meditative""]
    },
    ""lyrical_rap_check"": false
}
```",418.749286264996,"{'simplified': 'Ambient music', 'expanded': 'Ambient, electronic, experimental', 'descriptive': 'A soothing blend of ambient pads, electronic beats, and experimental soundscapes creating a tranquil atmosphere.', 'synonyms': 'Ambient, electronic, experimental, new age, soundscapes', 'use_cases': 'Background music for relaxation, meditation, or as a soundtrack for creative projects.', 'analysis': {'genre': ['ambient', 'electronic', 'experimental'], 'instruments': ['synthesizer', 'pads', 'drums'], 'tempo': 'slow to medium - tempo', 'mood': ['calm', 'relaxing', 'meditative']}, 'lyrical_rap_check': False}","{'genre': ['ambient', 'electronic', 'experimental'], 'instruments': ['synthesizer', 'pads', 'drums'], 'tempo': 'slow to medium - tempo', 'mood': ['calm', 'relaxing', 'meditative']}","A soothing blend of ambient pads, electronic beats, and experimental soundscapes creating a tranquil atmosphere.","Ambient, electronic, experimental",Ambient music,"Ambient, electronic, experimental, new age, soundscapes","Background music for relaxation, meditation, or as a soundtrack for creative projects."
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_BTBC_MASTER_2024_08_07_00_24b__001 copy.wav,"```json
{
    ""simplified"": ""Ambient electronic"",
    ""expanded"": ""Ambient electronic, experimental, minimalism"",
    ""descriptive"": ""A soothing ambient electronic track with soft synth pads, subtle percussion, and a steady, hypnotic beat."",
    ""synonyms"": ""Ambient electronic, experimental, minimalism"",
    ""use_cases"": ""Background music for relaxation, meditation, or as a soundtrack for a futuristic or sci - fi setting."",
    ""analysis"": {
        ""genre"": [""ambient"", ""electronic"", ""experimental"", ""minimalism""],
        ""instruments"": [""synthesizer"", ""percussion"", ""drums""],
        ""tempo"": ""105 BPM"",
        ""mood"": [""calm"", ""relaxing"", ""hypnotic""]
    },
    ""lyrical_rap_check"": false
}
```",417.3678889579969,"{'simplified': 'Ambient electronic', 'expanded': 'Ambient electronic, experimental, minimalism', 'descriptive': 'A soothing ambient electronic track with soft synth pads, subtle percussion, and a steady, hypnotic beat.', 'synonyms': 'Ambient electronic, experimental, minimalism', 'use_cases': 'Background music for relaxation, meditation, or as a soundtrack for a futuristic or sci - fi setting.', 'analysis': {'genre': ['ambient', 'electronic', 'experimental', 'minimalism'], 'instruments': ['synthesizer', 'percussion', 'drums'], 'tempo': '105 BPM', 'mood': ['calm', 'relaxing', 'hypnotic']}, 'lyrical_rap_check': False}","{'genre': ['ambient', 'electronic', 'experimental', 'minimalism'], 'instruments': ['synthesizer', 'percussion', 'drums'], 'tempo': '105 BPM', 'mood': ['calm', 'relaxing', 'hypnotic']}","A soothing ambient electronic track with soft synth pads, subtle percussion, and a steady, hypnotic beat.","Ambient electronic, experimental, minimalism",Ambient electronic,"Ambient electronic, experimental, minimalism","Background music for relaxation, meditation, or as a soundtrack for a futuristic or sci - fi setting."
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_ASTRAY US MASTER 2024_12_24_00_24b__002.wav,"```json
{
    ""simplified"": ""Ambient music with a synth"",
    ""expanded"": ""Ambient electronic music with synthesizer"",
    ""descriptive"": ""A soothing ambient electronic track featuring a smooth synth melody."",
    ""synonyms"": ""Ambient electronic music with synthesizer"",
    ""use_cases"": ""Background music for relaxation, meditation, or ambient soundscapes."",
    ""analysis"": {
        ""genre"": [""ambient"", ""electronic""],
        ""instruments"": [""synthesizer""],
        ""tempo"": ""slow"",
        ""mood"": [""calm"", ""relaxing""]
    },
    ""lyrical_rap_check"": false
}
```",406.4285104619994,"{'simplified': 'Ambient music with a synth', 'expanded': 'Ambient electronic music with synthesizer', 'descriptive': 'A soothing ambient electronic track featuring a smooth synth melody.', 'synonyms': 'Ambient electronic music with synthesizer', 'use_cases': 'Background music for relaxation, meditation, or ambient soundscapes.', 'analysis': {'genre': ['ambient', 'electronic'], 'instruments': ['synthesizer'], 'tempo': 'slow', 'mood': ['calm', 'relaxing']}, 'lyrical_rap_check': False}","{'genre': ['ambient', 'electronic'], 'instruments': ['synthesizer'], 'tempo': 'slow', 'mood': ['calm', 'relaxing']}",A soothing ambient electronic track featuring a smooth synth melody.,Ambient electronic music with synthesizer,Ambient music with a synth,Ambient electronic music with synthesizer,"Background music for relaxation, meditation, or ambient soundscapes."
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_02_Synodic_24b__004.wav,"```json
{
    ""simplified"": ""Electronic music"",
    ""expanded"": ""Dance music, ambient music"",
    ""descriptive"": ""The music is a blend of electronic beats and ambient sounds, creating a futuristic and immersive atmosphere."",
    ""synonyms"": ""Electro music, synth - based music"",
    ""use_cases"": ""Background music for video games, club music, meditation"",
    ""analysis"": {
        ""genre"": [""electronic"", ""ambient""],
        ""instruments"": [""synthesizer"", ""bass"", ""drums""],
        ""tempo"": ""118 BPM"",
        ""mood"": [""energetic"", ""hypnotic""]
    },
    ""lyrical_rap_check"": false
}
```",411.0156811670022,"{'simplified': 'Electronic music', 'expanded': 'Dance music, ambient music', 'descriptive': 'The music is a blend of electronic beats and ambient sounds, creating a futuristic and immersive atmosphere.', 'synonyms': 'Electro music, synth - based music', 'use_cases': 'Background music for video games, club music, meditation', 'analysis': {'genre': ['electronic', 'ambient'], 'instruments': ['synthesizer', 'bass', 'drums'], 'tempo': '118 BPM', 'mood': ['energetic', 'hypnotic']}, 'lyrical_rap_check': False}","{'genre': ['electronic', 'ambient'], 'instruments': ['synthesizer', 'bass', 'drums'], 'tempo': '118 BPM', 'mood': ['energetic', 'hypnotic']}","The music is a blend of electronic beats and ambient sounds, creating a futuristic and immersive atmosphere.","Dance music, ambient music",Electronic music,"Electro music, synth - based music","Background music for video games, club music, meditation"
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_EOS FINAL - MASTER 2024_02_10_00_24b__000.wav,"```json
{
    ""simplified"": ""Ambient music"",
    ""expanded"": ""Ambient, electronic, experimental"",
    ""descriptive"": ""A soothing blend of ambient textures and electronic elements, creating a dreamy and immersive soundscape."",
    ""synonyms"": ""Ambient, electronic, experimental"",
    ""use_cases"": ""Background music for relaxation, meditation, or as a soundtrack for creative projects."",
    ""analysis"": {
        ""genre"": [""ambient"", ""electronic"", ""experimental""],
        ""instruments"": [""synthesizer"", ""piano"", ""bass""],
        ""tempo"": ""slow"",
        ""mood"": [""calm"", ""relaxing"", ""meditative""]
    },
    ""lyrical_rap_check"": false
}
```",421.9039198770042,"{'simplified': 'Ambient music', 'expanded': 'Ambient, electronic, experimental', 'descriptive': 'A soothing blend of ambient textures and electronic elements, creating a dreamy and immersive soundscape.', 'synonyms': 'Ambient, electronic, experimental', 'use_cases': 'Background music for relaxation, meditation, or as a soundtrack for creative projects.', 'analysis': {'genre': ['ambient', 'electronic', 'experimental'], 'instruments': ['synthesizer', 'piano', 'bass'], 'tempo': 'slow', 'mood': ['calm', 'relaxing', 'meditative']}, 'lyrical_rap_check': False}","{'genre': ['ambient', 'electronic', 'experimental'], 'instruments': ['synthesizer', 'piano', 'bass'], 'tempo': 'slow', 'mood': ['calm', 'relaxing', 'meditative']}","A soothing blend of ambient textures and electronic elements, creating a dreamy and immersive soundscape.","Ambient, electronic, experimental",Ambient music,"Ambient, electronic, experimental","Background music for relaxation, meditation, or as a soundtrack for creative projects."
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_05_Partially_Observable_24b__002.wav,"```json
{
    ""simplified"": ""Electronic music"",
    ""expanded"": ""Downtempo, ambient, chillstep"",
    ""descriptive"": ""The music is a blend of smooth electronic beats and atmospheric sounds, creating a relaxing and immersive listening experience."",
    ""synonyms"": ""Electronic, ambient, chillstep"",
    ""use_cases"": ""Background music for relaxation, meditation, or as a soundtrack for a chill video."",
    ""analysis"": {
        ""genre"": [""electronic"", ""downtempo"", ""ambient"", ""chillstep""],
        ""instruments"": [""synthesizer"", ""drums"", ""bass"", ""piano""],
        ""tempo"": ""110 BPM"",
        ""mood"": [""relaxing"", ""chill"", ""meditative""]
    },
    ""lyrical_rap_check"": false
}
```",427.7107782579988,"{'simplified': 'Electronic music', 'expanded': 'Downtempo, ambient, chillstep', 'descriptive': 'The music is a blend of smooth electronic beats and atmospheric sounds, creating a relaxing and immersive listening experience.', 'synonyms': 'Electronic, ambient, chillstep', 'use_cases': 'Background music for relaxation, meditation, or as a soundtrack for a chill video.', 'analysis': {'genre': ['electronic', 'downtempo', 'ambient', 'chillstep'], 'instruments': ['synthesizer', 'drums', 'bass', 'piano'], 'tempo': '110 BPM', 'mood': ['relaxing', 'chill', 'meditative']}, 'lyrical_rap_check': False}","{'genre': ['electronic', 'downtempo', 'ambient', 'chillstep'], 'instruments': ['synthesizer', 'drums', 'bass', 'piano'], 'tempo': '110 BPM', 'mood': ['relaxing', 'chill', 'meditative']}","The music is a blend of smooth electronic beats and atmospheric sounds, creating a relaxing and immersive listening experience.","Downtempo, ambient, chillstep",Electronic music,"Electronic, ambient, chillstep","Background music for relaxation, meditation, or as a soundtrack for a chill video."
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_ASTRAY US MASTER 2024_12_24_00_24b__000 copy.wav,"```json
{
    ""simplified"": ""Ambient music"",
    ""expanded"": ""Ambient, electronic, experimental"",
    ""descriptive"": ""A soothing blend of ambient pads, electronic textures, and experimental soundscapes creating a tranquil atmosphere."",
    ""synonyms"": ""Ambient, electronic, experimental, new age, soundscapes"",
    ""use_cases"": ""Background music for relaxation, meditation, or as a soundtrack for creative projects."",
    ""analysis"": {
        ""genre"": [""ambient"", ""electronic"", ""experimental""],
        ""instruments"": [""synthesizer"", ""pads"", ""bass""],
        ""tempo"": ""slow to medium"",
        ""mood"": [""calm"", ""serene"", ""meditative""]
    },
    ""lyrical_rap_check"": false
}
```",424.85908558200026,"{'simplified': 'Ambient music', 'expanded': 'Ambient, electronic, experimental', 'descriptive': 'A soothing blend of ambient pads, electronic textures, and experimental soundscapes creating a tranquil atmosphere.', 'synonyms': 'Ambient, electronic, experimental, new age, soundscapes', 'use_cases': 'Background music for relaxation, meditation, or as a soundtrack for creative projects.', 'analysis': {'genre': ['ambient', 'electronic', 'experimental'], 'instruments': ['synthesizer', 'pads', 'bass'], 'tempo': 'slow to medium', 'mood': ['calm', 'serene', 'meditative']}, 'lyrical_rap_check': False}","{'genre': ['ambient', 'electronic', 'experimental'], 'instruments': ['synthesizer', 'pads', 'bass'], 'tempo': 'slow to medium', 'mood': ['calm', 'serene', 'meditative']}","A soothing blend of ambient pads, electronic textures, and experimental soundscapes creating a tranquil atmosphere.","Ambient, electronic, experimental",Ambient music,"Ambient, electronic, experimental, new age, soundscapes","Background music for relaxation, meditation, or as a soundtrack for creative projects."
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/AUGER_Armchair_Cartographer_MASTER_2023_05_19_00_24b__001.wav,"```json
{
    ""simplified"": ""Ambient electronic"",
    ""expanded"": ""Ambient electronic, experimental, minimalism"",
    ""descriptive"": ""A blend of ambient textures and electronic beats, creating a serene yet intriguing soundscape."",
    ""synonyms"": ""Ambient, electronic, experimental, minimal"",
    ""use_cases"": ""Background music for relaxation, meditation, or as a soundtrack for creative projects."",
    ""analysis"": {
        ""genre"": [""ambient"", ""electronic"", ""experimental""],
        ""instruments"": [""synthesizer"", ""piano"", ""drums""],
        ""tempo"": ""110 BPM"",
        ""mood"": [""calm"", ""thoughtful"", ""mysterious""]
    },
    ""lyrical_rap_check"": false
}
```",421.5265596849931,"{'simplified': 'Ambient electronic', 'expanded': 'Ambient electronic, experimental, minimalism', 'descriptive': 'A blend of ambient textures and electronic beats, creating a serene yet intriguing soundscape.', 'synonyms': 'Ambient, electronic, experimental, minimal', 'use_cases': 'Background music for relaxation, meditation, or as a soundtrack for creative projects.', 'analysis': {'genre': ['ambient', 'electronic', 'experimental'], 'instruments': ['synthesizer', 'piano', 'drums'], 'tempo': '110 BPM', 'mood': ['calm', 'thoughtful', 'mysterious']}, 'lyrical_rap_check': False}","{'genre': ['ambient', 'electronic', 'experimental'], 'instruments': ['synthesizer', 'piano', 'drums'], 'tempo': '110 BPM', 'mood': ['calm', 'thoughtful', 'mysterious']}","A blend of ambient textures and electronic beats, creating a serene yet intriguing soundscape.","Ambient electronic, experimental, minimalism",Ambient electronic,"Ambient, electronic, experimental, minimal","Background music for relaxation, meditation, or as a soundtrack for creative projects."
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/AUGER_Right_Hand_Chiral_MASTER_FINAL_2022_10_31_00_24bit__004.wav,"```json
{
    ""simplified"": ""Ambient music"",
    ""expanded"": ""Ambient, electronic, experimental"",
    ""descriptive"": ""A soothing blend of ambient sounds, electronic beats, and experimental textures creates a serene and immersive atmosphere."",
    ""synonyms"": ""Ambient, electronic, experimental music"",
    ""use_cases"": ""Background music for relaxation, meditation, or as a soundtrack for creative projects."",
    ""analysis"": {
        ""genre"": [""ambient"", ""electronic"", ""experimental""],
        ""instruments"": [""synthesizer"", ""piano"", ""bass"", ""drums""],
        ""tempo"": ""110 BPM"",
        ""mood"": [""calm"", ""relaxing"", ""meditative""]
    },
    ""lyrical_rap_check"": false
}
```",420.5511615560026,"{'simplified': 'Ambient music', 'expanded': 'Ambient, electronic, experimental', 'descriptive': 'A soothing blend of ambient sounds, electronic beats, and experimental textures creates a serene and immersive atmosphere.', 'synonyms': 'Ambient, electronic, experimental music', 'use_cases': 'Background music for relaxation, meditation, or as a soundtrack for creative projects.', 'analysis': {'genre': ['ambient', 'electronic', 'experimental'], 'instruments': ['synthesizer', 'piano', 'bass', 'drums'], 'tempo': '110 BPM', 'mood': ['calm', 'relaxing', 'meditative']}, 'lyrical_rap_check': False}","{'genre': ['ambient', 'electronic', 'experimental'], 'instruments': ['synthesizer', 'piano', 'bass', 'drums'], 'tempo': '110 BPM', 'mood': ['calm', 'relaxing', 'meditative']}","A soothing blend of ambient sounds, electronic beats, and experimental textures creates a serene and immersive atmosphere.","Ambient, electronic, experimental",Ambient music,"Ambient, electronic, experimental music","Background music for relaxation, meditation, or as a soundtrack for creative projects."
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_Lessons_in_Falling_MASTER_2023_07_04_00_16bit__005 copy.wav,"```json
{
    ""simplified"": ""Ambient electronic"",
    ""expanded"": ""Ambient electronic, experimental, minimalism"",
    ""descriptive"": ""A soundscape of ambient electronic music with a minimalist approach, featuring soft synth pads and subtle electronic beats."",
    ""synonyms"": ""Ambient electronic, experimental, minimalism"",
    ""use_cases"": ""Background music for meditation, relaxation, or as a soundtrack for a futuristic or sci - fi setting."",
    ""analysis"": {
        ""genre"": [""ambient"", ""electronic"", ""experimental"", ""minimalism""],
        ""instruments"": [""synthesizer"", ""pads"", ""beats""],
        ""tempo"": ""slow to medium"",
        ""mood"": [""calm"", ""serene"", ""reflective""]
    },
    ""lyrical_rap_check"": false
}
```",549.4951121600025,"{'simplified': 'Ambient electronic', 'expanded': 'Ambient electronic, experimental, minimalism', 'descriptive': 'A soundscape of ambient electronic music with a minimalist approach, featuring soft synth pads and subtle electronic beats.', 'synonyms': 'Ambient electronic, experimental, minimalism', 'use_cases': 'Background music for meditation, relaxation, or as a soundtrack for a futuristic or sci - fi setting.', 'analysis': {'genre': ['ambient', 'electronic', 'experimental', 'minimalism'], 'instruments': ['synthesizer', 'pads', 'beats'], 'tempo': 'slow to medium', 'mood': ['calm', 'serene', 'reflective']}, 'lyrical_rap_check': False}","{'genre': ['ambient', 'electronic', 'experimental', 'minimalism'], 'instruments': ['synthesizer', 'pads', 'beats'], 'tempo': 'slow to medium', 'mood': ['calm', 'serene', 'reflective']}","A soundscape of ambient electronic music with a minimalist approach, featuring soft synth pads and subtle electronic beats.","Ambient electronic, experimental, minimalism",Ambient electronic,"Ambient electronic, experimental, minimalism","Background music for meditation, relaxation, or as a soundtrack for a futuristic or sci - fi setting."
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_EOS FINAL - MASTER 2024_02_10_00_24b__000 copy.wav,"```json
{
    ""simplified"": ""Ambient music"",
    ""expanded"": ""Ambient, electronic, experimental"",
    ""descriptive"": ""A soothing blend of ambient textures and electronic elements, creating a dreamy and immersive soundscape."",
    ""synonyms"": ""Ambient, electronic, experimental"",
    ""use_cases"": ""Background music for relaxation, meditation, or as a soundtrack for creative projects."",
    ""analysis"": {
        ""genre"": [""ambient"", ""electronic"", ""experimental""],
        ""instruments"": [""synthesizer"", ""piano"", ""bass""],
        ""tempo"": ""slow"",
        ""mood"": [""calm"", ""relaxing"", ""meditative""]
    },
    ""lyrical_rap_check"": false
}
```",420.3806790020026,"{'simplified': 'Ambient music', 'expanded': 'Ambient, electronic, experimental', 'descriptive': 'A soothing blend of ambient textures and electronic elements, creating a dreamy and immersive soundscape.', 'synonyms': 'Ambient, electronic, experimental', 'use_cases': 'Background music for relaxation, meditation, or as a soundtrack for creative projects.', 'analysis': {'genre': ['ambient', 'electronic', 'experimental'], 'instruments': ['synthesizer', 'piano', 'bass'], 'tempo': 'slow', 'mood': ['calm', 'relaxing', 'meditative']}, 'lyrical_rap_check': False}","{'genre': ['ambient', 'electronic', 'experimental'], 'instruments': ['synthesizer', 'piano', 'bass'], 'tempo': 'slow', 'mood': ['calm', 'relaxing', 'meditative']}","A soothing blend of ambient textures and electronic elements, creating a dreamy and immersive soundscape.","Ambient, electronic, experimental",Ambient music,"Ambient, electronic, experimental","Background music for relaxation, meditation, or as a soundtrack for creative projects."
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_BTBC_MASTER_2024_08_07_00_24b__001.wav,"```json
{
    ""simplified"": ""Ambient electronic"",
    ""expanded"": ""Ambient electronic, experimental, minimalism"",
    ""descriptive"": ""A soothing ambient electronic track with soft synth pads, subtle percussion, and a steady, hypnotic beat."",
    ""synonyms"": ""Ambient electronic, experimental, minimalism"",
    ""use_cases"": ""Background music for relaxation, meditation, or as a soundtrack for a futuristic or sci - fi setting."",
    ""analysis"": {
        ""genre"": [""ambient"", ""electronic"", ""experimental"", ""minimalism""],
        ""instruments"": [""synthesizer"", ""percussion"", ""drums""],
        ""tempo"": ""105 BPM"",
        ""mood"": [""calm"", ""relaxing"", ""hypnotic""]
    },
    ""lyrical_rap_check"": false
}
```",422.2640602820029,"{'simplified': 'Ambient electronic', 'expanded': 'Ambient electronic, experimental, minimalism', 'descriptive': 'A soothing ambient electronic track with soft synth pads, subtle percussion, and a steady, hypnotic beat.', 'synonyms': 'Ambient electronic, experimental, minimalism', 'use_cases': 'Background music for relaxation, meditation, or as a soundtrack for a futuristic or sci - fi setting.', 'analysis': {'genre': ['ambient', 'electronic', 'experimental', 'minimalism'], 'instruments': ['synthesizer', 'percussion', 'drums'], 'tempo': '105 BPM', 'mood': ['calm', 'relaxing', 'hypnotic']}, 'lyrical_rap_check': False}","{'genre': ['ambient', 'electronic', 'experimental', 'minimalism'], 'instruments': ['synthesizer', 'percussion', 'drums'], 'tempo': '105 BPM', 'mood': ['calm', 'relaxing', 'hypnotic']}","A soothing ambient electronic track with soft synth pads, subtle percussion, and a steady, hypnotic beat.","Ambient electronic, experimental, minimalism",Ambient electronic,"Ambient electronic, experimental, minimalism","Background music for relaxation, meditation, or as a soundtrack for a futuristic or sci - fi setting."
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_BTBC_MASTER_2024_08_07_00_24b__003.wav,"```json
{
    ""simplified"": ""Electronic music"",
    ""expanded"": ""Dance music, ambient electronic, experimental electronic"",
    ""descriptive"": ""The music is a blend of electronic sounds, with a steady beat and a futuristic atmosphere."",
    ""synonyms"": ""Synth - based music, digital music, electronic - inspired music"",
    ""use_cases"": ""Background music for tech - themed events, soundtracks for sci - fi movies, ambient music for relaxation"",
    ""analysis"": {
        ""genre"": [""electronic"", ""dubstep"", ""ambient electronic""],
        ""instruments"": [""synthesizer"", ""drums"", ""bass"", ""piano""],
        ""tempo"": ""105 BPM"",
        ""mood"": [""energetic"", ""futuristic"", ""chill""]
    },
    ""lyrical_rap_check"": false
}
```",422.86600304699823,"{'simplified': 'Electronic music', 'expanded': 'Dance music, ambient electronic, experimental electronic', 'descriptive': 'The music is a blend of electronic sounds, with a steady beat and a futuristic atmosphere.', 'synonyms': 'Synth - based music, digital music, electronic - inspired music', 'use_cases': 'Background music for tech - themed events, soundtracks for sci - fi movies, ambient music for relaxation', 'analysis': {'genre': ['electronic', 'dubstep', 'ambient electronic'], 'instruments': ['synthesizer', 'drums', 'bass', 'piano'], 'tempo': '105 BPM', 'mood': ['energetic', 'futuristic', 'chill']}, 'lyrical_rap_check': False}","{'genre': ['electronic', 'dubstep', 'ambient electronic'], 'instruments': ['synthesizer', 'drums', 'bass', 'piano'], 'tempo': '105 BPM', 'mood': ['energetic', 'futuristic', 'chill']}","The music is a blend of electronic sounds, with a steady beat and a futuristic atmosphere.","Dance music, ambient electronic, experimental electronic",Electronic music,"Synth - based music, digital music, electronic - inspired music","Background music for tech - themed events, soundtracks for sci - fi movies, ambient music for relaxation"
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_02_Synodic_24b__003.wav,"```json
{
""simplified"": ""Ambient electronic music"",
""expanded"": ""Ambient electronic, chillstep, dubstep"",
""descriptive"": ""A soothing ambient electronic track with a chillstep beat and dubstep undertones, creating a relaxing and immersive atmosphere."",
""synonyms"": ""Ambient electronic, chillstep, dubstep"",
""use_cases"": ""Background music for relaxation, meditation, or as a soundtrack for a chill video game."",
""analysis"": {
    ""genre"": [""ambient electronic"", ""chillstep"", ""dubstep""],
    ""instruments"": [""synthesizer"", ""drums"", ""bass""],
    ""tempo"": ""118 BPM"",
    ""mood"": [""relaxing"", ""chill"", ""meditative""]
},
""lyrical_rap_check"": false
}
```",15.497746731999996,"{'simplified': 'Ambient electronic music', 'expanded': 'Ambient electronic, chillstep, dubstep', 'descriptive': 'A soothing ambient electronic track with a chillstep beat and dubstep undertones, creating a relaxing and immersive atmosphere.', 'synonyms': 'Ambient electronic, chillstep, dubstep', 'use_cases': 'Background music for relaxation, meditation, or as a soundtrack for a chill video game.', 'analysis': {'genre': ['ambient electronic', 'chillstep', 'dubstep'], 'instruments': ['synthesizer', 'drums', 'bass'], 'tempo': '118 BPM', 'mood': ['relaxing', 'chill', 'meditative']}, 'lyrical_rap_check': False}","{'genre': ['ambient electronic', 'chillstep', 'dubstep'], 'instruments': ['synthesizer', 'drums', 'bass'], 'tempo': '118 BPM', 'mood': ['relaxing', 'chill', 'meditative']}","A soothing ambient electronic track with a chillstep beat and dubstep undertones, creating a relaxing and immersive atmosphere.","Ambient electronic, chillstep, dubstep",Ambient electronic music,"Ambient electronic, chillstep, dubstep","Background music for relaxation, meditation, or as a soundtrack for a chill video game."
/mnt/disks/audio-ai-research-speech-data/rjw_audio/Riley_Full_Catalogue_PROCESSED/MERIDIAN_BTBC_MASTER_2024_08_07_00_24b__000 copy.wav,"```json
{
""simplified"": ""Ambient electronic music"",
""expanded"": ""Ambient electronic, experimental, minimalism, drone, soundscapes, electronic"",
""descriptive"": ""A soundscape of ambient electronic music, with a slow tempo and a blend of electronic and ambient elements. The music creates a calm and introspective mood."",
""synonyms"": ""Ambient electronic, experimental, minimalism, drone, soundscapes, electronic"",
""use_cases"": ""Background music for relaxation, meditation, or as a soundtrack for a documentary or film with a contemplative theme."",
""analysis"": {
    ""genre"": [""ambient"", ""electronic""],
    ""instruments"": [""synthesizer"", ""piano"", ""bass"", ""drums""],
    ""tempo"": ""slow"",
    ""mood"": [""calm"", ""introspective"", ""reflective""]
},
""lyrical_rap_check"": false
}
```",13.172454694999942,"{'simplified': 'Ambient electronic music', 'expanded': 'Ambient electronic, experimental, minimalism, drone, soundscapes, electronic', 'descriptive': 'A soundscape of ambient electronic music, with a slow tempo and a blend of electronic and ambient elements. The music creates a calm and introspective mood.', 'synonyms': 'Ambient electronic, experimental, minimalism, drone, soundscapes, electronic', 'use_cases': 'Background music for relaxation, meditation, or as a soundtrack for a documentary or film with a contemplative theme.', 'analysis': {'genre': ['ambient', 'electronic'], 'instruments': ['synthesizer', 'piano', 'bass', 'drums'], 'tempo': 'slow', 'mood': ['calm', 'introspective', 'reflective']}, 'lyrical_rap_check': False}","{'genre': ['ambient', 'electronic'], 'instruments': ['synthesizer', 'piano', 'bass', 'drums'], 'tempo': 'slow', 'mood': ['calm', 'introspective', 'reflective']}","A soundscape of ambient electronic music, with a slow tempo and a blend of electronic and ambient elements. The music creates a calm and introspective mood.","Ambient electronic, experimental, minimalism, drone, soundscapes, electronic",Ambient electronic music,"Ambient electronic, experimental, minimalism, drone, soundscapes, electronic","Background music for relaxation, meditation, or as a soundtrack for a documentary or film with a contemplative theme."
